Number of input frames,upper body mean\pmerror at 80ms,upper body mean\pmerror at 400ms,upper body mean\pmerror at 560ms,upper body mean\pmerror at 1000ms,lower body mean\pmerror at 80ms,lower body mean\pmerror at 400ms,lower body mean\pmerror at 560ms,lower body mean\pmerror at 1000ms
1,4.76\pm0.08,39.67\pm0.66,53.17\pm0.90,73.54\pm1.34,10.91\pm0.14,85.93\pm1.12,109.39\pm1.42,115.72\pm1.65
2,5.33\pm0.28,53.94\pm0.57,121.81\pm1.12,150.29\pm1.46,7.75\pm0.31,126.94\pm1.56,281.69\pm3.30,306.38\pm3.29
3,9.02\pm0.34,69.34\pm0.65,139.30\pm1.16,173.76\pm1.48,15.95\pm0.41,170.80\pm2.13,316.57\pm3.69,355.56\pm3.77
4,4.73\pm0.10,61.95\pm0.74,94.92\pm1.06,111.91\pm1.56,11.58\pm0.17,158.14\pm1.90,236.18\pm2.79,218.48\pm2.87
5,6.97\pm0.25,23.97\pm0.32,46.20\pm0.59,75.75\pm1.10,14.44\pm0.48,58.11\pm0.73,106.98\pm1.41,123.57\pm1.62
10,9.86\pm0.22,22.68\pm0.29,35.14\pm0.49,63.08\pm1.05,23.40\pm0.56,56.86\pm0.79,81.58\pm1.02,109.50\pm1.36
15,9.02\pm0.26,14.72\pm0.24,27.33\pm0.38,59.75\pm0.93,16.28\pm0.46,29.47\pm0.43,51.33\pm0.66,92.90\pm1.17
20,1.22\pm0.02,10.63\pm0.18,22.60\pm0.35,55.06\pm0.94,2.48\pm0.03,21.43\pm0.29,42.21\pm0.56,80.37\pm1.14
25,0.69\pm0.02,6.58\pm0.13,14.15\pm0.25,41.90\pm0.77,1.49\pm0.03,12.96\pm0.18,25.92\pm0.35,59.11\pm0.92
